Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup,Age Group
cabr,CA9-Biography - Ref,ItemCollection,Print,Book,Reference,Biography,Adult
cs9rf,CS 9 - Ref Folio,ItemCollection,Print,Book,Reference,,Adult
caesli,CA1-ESL Intermediate,ItemCollection,Print,Book,Miscellaneous,,Adult
navid,NA-Video Adult (VHS),ItemCollection,Media,Video Tape,Miscellaneous,,Adult
ncseas,NC--Children's Seasonal,ItemCollection,Print,Book,Fiction,Holiday,Juvenile
cs8ro,CS 8 - Ref Oversize,ItemCollection,Print,Book,Reference,,Adult
nahmwkr,NA-Homework - Ref.,ItemCollection,Print,Book,Reference,,Adult
cs7f,CS 7 - Folio,ItemCollection,Print,Book,Miscellaneous,,Adult
nchol,NC-Children's Holiday,ItemCollection,Print,Book,Fiction,Holiday,Juvenile
acpam,Pamphlet: Adult/ya,ItemType,Print,,Miscellaneous,,Adult
cylp,CY3-Teen Large Print,ItemCollection,Print,Book,Fiction,Large Print,Teen
nanar,NA-Native American - Ref.,ItemCollection,Print,Book,Reference,,Adult
arcas,Audio Tape: Ref Adult/YA,ItemType,Media,Audio Tape,Reference,,Adult
naeslr,NA-Eng Second Lang - Ref.,ItemCollection,Print,Book,Reference,,Adult
swprsrv,Preservation,ItemCollection,Other,,Miscellaneous,,Adult
ncrdr,NC--Children's Readers,ItemCollection,Print,Book,Fiction,Picture,Juvenile
calpnew,CA3-Large Print New,ItemCollection,Print,Book,Fiction,Large Print,Adult
cadvdnf,"CA7-DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,,Adult
ncvidnf,"NC-Children's Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,,Juvenile
naeslir,NA-Eng Second Lang (Int REF),ItemCollection,Print,Book,Reference,,Adult
ncdvdnf,"NC-Children's DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,,Juvenile
cs7,CS 7,ItemCollection,Print,Book,Miscellaneous,,Adult
caseamp,CA0-Seattle Room Map,ItemCollection,Print,Book,Miscellaneous,,Adult
ncnf,NC-Children's Nonfiction,ItemCollection,Print,Book,Nonfiction,,Juvenile
nanew,NA-New Adult Books,ItemCollection,Print,Book,Fiction,,Adult
FA,Fast Add,ItemCollection,Other,,Temporary,,Adult
cclpfic,CC-Children's Large Print,ItemCollection,Print,Book,Fiction,Large Print,Juvenile
nab,NA-Biography,ItemCollection,Print,Book,Nonfiction,Biography,Adult
canp,CA6-Newspapers,ItemCollection,Print,Periodical,Miscellaneous,,Adult
ncaa,Afam - Children's Circulating,ItemCollection,Print,Book,Nonfiction,,Juvenile
cs1malp,CS 1 - MOB Large Print Nonfiction,ItemCollection,Print,Book,Nonfiction,Large Print,Adult
ucunknj,Uncataloged Juv Mat,ItemType,Print,Book,Uncataloged,,Juvenile
ncsoft,NC-Children's Software,ItemCollection,Media,Data Disc,Miscellaneous,,Juvenile
cs6l,CS 6 - Limit,ItemCollection,Print,Book,Miscellaneous,,Adult
naaafol,AfAm - Folder,ItemCollection,Media,Kit,Miscellaneous,,Adult
ccbocd,CC-Children's Compact Discs,ItemCollection,Media,Audiobook Disc,Fiction,,Juvenile
nabr,NA-Biography - Reference,ItemCollection,Print,Book,Reference,Biography,Adult
cacdnf,"CA7-Books on CD, Nonfiction",ItemCollection,Media,Audiobook Disc,Nonfiction,,Adult
acpost,Poster: Adult/YA,ItemType,Media,Art,Miscellaneous,,Adult
camfr,CA8-Microform - Stacks,ItemCollection,Media,Film,Miscellaneous,,Adult
naholsk,NA-Holiday - Adult - Stack,ItemCollection,Print,Book,Fiction,Holiday,Adult
ncaafam,Afam - Child.Lit.Res/Ref,ItemCollection,Print,Book,Reference,,Juvenile
jrper,Magazine: Ref Juv,ItemType,Print,Periodical,Reference,,Juvenile
bcbk,Book: Adult/Formerly No Fine,ItemType,Print,Book,Miscellaneous,,Adult
nacurr,NA-Current - Reference,ItemCollection,Print,Book,Reference,,Adult
naaapb,AfAm - Paperbacks,ItemCollection,Print,Book,Fiction,,Adult
cafold,CA-Folder,ItemCollection,Print,Folder,Miscellaneous,,Adult
jrcd,CD: Ref Juv,ItemType,Media,Audio Disc,Reference,,Juvenile
cs3mamy,CS 3 - MOB Mysteries,ItemCollection,Print,Book,Fiction,,Adult
cs6,CS 6,ItemCollection,Print,Book,Miscellaneous,,Adult
caref,CA-Reference,ItemCollection,Print,Book,Reference,,Adult
alvhs,Video (VHS): Adult/YA,ItemType,Media,Video Tape,Miscellaneous,,Adult
calncdr,"CA1-CD-ROM, Language",ItemCollection,Media,Data Disc,Language,,Adult
calibr,CA8-Libretto File,ItemCollection,Print,Book,Nonfiction,,Adult
naaanf,AfAm - Nf,ItemCollection,Print,Book,Nonfiction,,Adult
ccnew,CC-Children's New Materials,ItemCollection,Print,Book,Nonfiction,,Juvenile
cckit,CC-Children's Kit,ItemCollection,Media,Audio Disc,Nonfiction,,Juvenile
cs6ro,CS 6 - Ref Oversize,ItemCollection,Print,Book,Reference,,Adult
nass,NA-Short Stories,ItemCollection,Print,Book,Fiction,,Adult
sxanal,CA-Analytics Dummy,ItemCollection,Other,,Temporary,,Adult
caslide,CS 8 - Slide,ItemCollection,Media,Film,Miscellaneous,,Adult
ch1mapa,CH1 - MOB Parenting,ItemCollection,Print,Book,Miscellaneous,,Juvenile
armfm,Microfilm: Ref Adult/ya,ItemType,Media,Film,Reference,,Adult
cchol,CC-Children's Holiday,ItemCollection,Print,Book,Fiction,Holiday,Juvenile
caval,CA0-Valuable Material,ItemCollection,Print,Book,Miscellaneous,,Adult
cs7ro,CS 7 - Ref Oversize,ItemCollection,Print,Book,Reference,,Adult
cccas,CC-Children's Cassettes,ItemCollection,Media,Audio Tape,Miscellaneous,,Juvenile
napamp,NA-Pamphlets,ItemCollection,Print,,Miscellaneous,,Adult
catele,CA5-Telephone,ItemCollection,Print,Book,Miscellaneous,,Adult
nckit,NC--Children's Kits,ItemCollection,Media,Kit,Miscellaneous,,Juvenile
calnr,CA1-World Languages Reference,ItemCollection,Print,Book,Reference,,Adult
nacas,NA-Audio Cassettes,ItemCollection,Media,Audio Tape,Fiction,,Adult
nadoc,NA-Government Documents,ItemCollection,Print,Document,Miscellaneous,,Adult
armfc,Microfiche: Ref Adult/ya,ItemType,Media,Film,Reference,,Adult
ncfft,NC-Folk And Fairy Tales,ItemCollection,Print,Book,Nonfiction,,Juvenile
naaar,AfAm - Reference,ItemCollection,Print,Book,Reference,,Adult
cavidad,"CA3-Video, Audio-Described",ItemCollection,Media,Video Tape,Miscellaneous,,Adult
cazine,ZAPP zine collection - Level 7 Aviation Room,ItemCollection,Print,Book,Periodical,,Adult
capf,CA9-Play File,ItemCollection,Print,,Nonfiction,,Adult
cs8l,CS 8 - Limit,ItemCollection,Print,Book,Miscellaneous,,Adult
naenvr,NA-Environ.Ctr.Coll/Ref,ItemCollection,Print,Book,Reference,,Adult
acvhs,Video (VHS): Adult/YA,ItemType,Media,Video Tape,Miscellaneous,,Adult
narefsl,NA-Reference Special Location,ItemCollection,Print,Book,Reference,,Adult
naread,NA-READ,ItemCollection,Print,Book,Miscellaneous,,Adult
ucflpdr,USB Floppy Drive,ItemType,Equipment,,Uncataloged,,Adult
caatlas,CA9-Atlases,ItemCollection,Print,Book,Nonfiction,,Adult
seorder,On Order,ItemCollection,Other,,On Order,,Adult
nccomic,NC-Children's Comics,ItemCollection,Print,Book,Fiction,Comic,Juvenile
pkfic,Peak Picks Fiction,ItemCollection,Print,Book,Fiction,Peak Picks,Adult
camys,CA3-Mystery,ItemCollection,Print,Book,Fiction,,Adult
acunkn,Other: Adult/YA,ItemType,Print,,Miscellaneous,,Adult
nana,NA-Native American,ItemCollection,Print,Book,Nonfiction,,Adult
nasur,NA-Surplus Storage,ItemCollection,Print,Book,Miscellaneous,,Adult
accd,CD: Adult/YA,ItemType,Media,Audio Disc,Miscellaneous,,Adult
naenv,NA-Environmental Center Collection,ItemCollection,Print,Book,Miscellaneous,,Adult
narc,NA-Readers' Corner,ItemCollection,Print,Book,Miscellaneous,,Adult
nasb,NA-Small Business Collection,ItemCollection,Print,Book,Miscellaneous,,Adult
cs9so,CS 9 - Seattle Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
scmed,Video Or Dvd: Short Circ Period,ItemType,Media,Video Disc,Miscellaneous,,Adult
ncpb,NC-Children's Paperbacks,ItemCollection,Print,Book,Fiction,,Juvenile
dcord,On Order: Circulating Order,ItemType,Other,,On Order,,Adult
canf,CA-Nonfiction,ItemCollection,Print,Book,Nonfiction,,Adult
caindex,CA6-Magazine Indexes,ItemCollection,Print,Book,Miscellaneous,,Adult
natxtr,NA-School Textbooks - Reference,ItemCollection,Print,Book,Reference,,Adult
drmfmnp,Microfilm: Dummy Newspaper,ItemType,Other,Film,Temporary,,Adult
cafund,CA7-Fundraising Reference,ItemCollection,Print,Book,Miscellaneous,,Adult
ccrdr,CC-Children's Readers,ItemCollection,Print,Book,Fiction,Picture,Juvenile
nainvr,NA-Investment Coll. - Ref.,ItemCollection,Print,Book,Reference,,Adult
namar,NA-Marine Collection,ItemCollection,Print,Book,Nonfiction,,Adult
naatlr,NA-Atlases - Reference,ItemCollection,Print,Book,Reference,,Adult
caaerov,Cs9-AERO Valmat Oversize,ItemCollection,Print,Book,Nonfiction,,Adult
casea,CA0-Seattle Coll.,ItemCollection,Print,Book,Miscellaneous,,Adult
cacd,CA8-Music CD,ItemCollection,Media,Audio Disc,Nonfiction,,Adult
nalnpb,NA-Lang. Coll. Uncat. Pbk,ItemCollection,Print,Book,Language,,Adult
naeslb,NA-Eng Second Lang (Beg),ItemCollection,Print,Book,Miscellaneous,,Adult
casf,CA3-Science Fiction,ItemCollection,Print,Book,Fiction,,Adult
cybot,CY3-Teen Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Teen
cs1mabi,CS 1 - Bifolkal Kits,ItemCollection,Media,Kit,Miscellaneous,,Adult
nalndvd,NA-DVD World Languages,ItemCollection,Media,Video Disc,Language,,Adult
nanf,NA-Nonfiction,ItemCollection,Print,Book,Nonfiction,,Adult
canplr,CA3-Living Room Newspapers,ItemCollection,Print,Periodical,Miscellaneous,,Adult
carec,CA8-Phono Records,ItemCollection,Media,Audio Disc,Nonfiction,,Adult
canwart,CS 8 - NW Arts,ItemCollection,Print,Book,Miscellaneous,,Adult
cs9s,CS 9 - Seattle,ItemCollection,Print,Book,Miscellaneous,,Adult
caaerop,Cs9-AERO Periodicals,ItemCollection,Print,Book,Nonfiction,,Adult
cass,CA3-Short Stories,ItemCollection,Print,Book,Fiction,,Adult
naesl,NA-Eng Second Lang,ItemCollection,Print,Book,Miscellaneous,,Adult
ncser,NC-Children's Series,ItemCollection,Print,Book,Fiction,,Juvenile
swbrs,Borrower Services,ItemCollection,Other,,Miscellaneous,,Adult
qsref,QAS Reference,ItemCollection,Print,Book,Reference,,Adult
caover,CA-Oversize,ItemCollection,Print,Book,Nonfiction,,Adult
calpfic,CA3-Large Print Fiction,ItemCollection,Print,Book,Fiction,Large Print,Adult
cs3fic,CS 3 - Fiction,ItemCollection,Print,Book,Fiction,,Adult
napro,NA-Adult Professional -Ref.,ItemCollection,Print,Book,Reference,,Adult
naclfic,NA-Classics (Fiction),ItemCollection,Print,Book,Fiction,,Adult
scorder,Kids On Order,ItemCollection,Other,,On Order,,Juvenile
nalas,NA-Laser Disc,ItemCollection,Media,Video Disc,Miscellaneous,,Adult
nalpfic,NA-Large Print Fiction,ItemCollection,Print,Book,Fiction,Large Print,Adult
cs1lew,CS 1 - Language,ItemCollection,Print,Book,Language,,Adult
camap,CA9-Map,ItemCollection,Print,Book,Miscellaneous,,Adult
acdisk,Diskette: Adult/YA,ItemType,Media,Data Disc,Miscellaneous,,Adult
aceq,Equipment: Adult/YA,ItemType,Equipment,,Miscellaneous,,Adult
cs6rf,CS 6 - Ref Folio,ItemCollection,Print,Book,Reference,,Adult
jrdisk,Diskette: Ref Juv,ItemType,Media,Data Disc,Reference,,Juvenile
cyln,CY-Teen Languages Collection,ItemCollection,Print,Book,Language,,Teen
nalpnew,NA-Large Print New,ItemCollection,Print,Book,Fiction,Large Print,Adult
cagbi,CA9-Geneal. Bibliographies,ItemCollection,Print,Book,Miscellaneous,,Adult
ncna,NC-Children's Native American,ItemCollection,Print,Book,Miscellaneous,,Juvenile
acfold,Folder: Adult/YA,ItemType,Media,Kit,Miscellaneous,,Adult
arvid,Video: Ref Adult/YA,ItemType,Media,Video Tape,Reference,,Adult
ccnf,CC-Children's Nonfiction,ItemCollection,Print,Book,Nonfiction,,Juvenile
cadesk6,"CA6-RefDesk, MNP",ItemCollection,Print,Book,Reference,,Adult
swill,Interlibrary Loan,ItemCollection,Other,,Interlibrary Loan,,Adult
jrdvd,DVD: Ref Juv,ItemType,Media,Video Disc,Reference,,Juvenile
swstfop,Staff Operation In Process,ItemCollection,Other,,Miscellaneous,,Adult
casear,CA0-Seattle Room Ref,ItemCollection,Print,Book,Reference,,Adult
caesla,CA1-ESL Advanced,ItemCollection,Print,Book,Miscellaneous,,Adult
drmfper,Microfilm: Dummy Periodical,ItemType,Other,Film,Temporary,,Adult
naaab,AfAm - Biographies,ItemCollection,Print,Book,Nonfiction,Biography,Adult
ncesl,NC-Children's ESL,ItemCollection,Print,Book,Miscellaneous,ESL,Juvenile
pknf,Peak Picks-Nonfiction,ItemCollection,Print,Book,Nonfiction,Peak Picks,Adult
cyper,CY3-Teen Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Teen
cycomic,CY3-Teen Comics & Graphic Novels,ItemCollection,Print,Book,Fiction,Comic,Teen
cs6sofr,CS 6 - Ref Federal Depository Media,ItemCollection,Print,Book,Reference,,Adult
cs6per,CS 6 - Magazines,ItemCollection,Print,Periodical,Miscellaneous,,Adult
cavid,"CA3-Video, Fiction",ItemCollection,Media,Video Tape,Fiction,,Adult
cadvd,"CA3-DVD, Fiction",ItemCollection,Media,Video Disc,Fiction,,Adult
naln,NA-Languages Collection,ItemCollection,Print,Book,Language,,Adult
drnp,Newspaper: Dummy Record,ItemType,Other,Periodical,Temporary,,Adult
nafold,NA-Folder or Bag,ItemCollection,Media,Kit,Miscellaneous,,Adult
naref,NA-Reference,ItemCollection,Print,Book,Reference,,Adult
namarr,NA-Marine Coll. - Reference,ItemCollection,Print,Book,Reference,,Adult
bcdvd,DVD: Adult/Formerly No Fine,ItemType,Media,Video Disc,Miscellaneous,,Adult
arpost,Poster: Ref Adult/YA,ItemType,Media,Art,Reference,,Adult
blvhs,Video (VHS): Adult/Formerly No Fine Multi Vol,ItemType,Media,Video Tape,Miscellaneous,,Adult
cs8rf,CS 8 - Ref Folio,ItemCollection,Print,Book,Reference,,Adult
unk,Unknown collection for item creation,ItemCollection,Other,,Temporary,,Adult
cs9sxo,CS 9 - Seattle Extra Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
ccvid,"CC-Children's Video, Fiction",ItemCollection,Media,Video Tape,Fiction,,Juvenile
nynew,NY-Teen - New Books,ItemCollection,Print,Book,Fiction,,Teen
careadr,CA5-Literacy Reference,ItemCollection,Print,Book,Reference,,Adult
cs8rx,CS 8 - Ref Extra-large,ItemCollection,Print,Book,Reference,,Adult
cagmf,CA9-Microform,ItemCollection,Media,Film,Miscellaneous,,Adult
ccfft,CC-Folk And Fairy Tales,ItemCollection,Print,Book,Nonfiction,,Juvenile
cs9vf,CS 9 - Valmat Folio,ItemCollection,Print,Book,Miscellaneous,,Adult
jrbk,Book: Ref Juv,ItemType,Print,Book,Reference,,Juvenile
cabocd,"CA7-Books on CD, Fiction",ItemCollection,Media,Audiobook Disc,Fiction,,Adult
scbk,Online Resource--Children's,ItemCollection,Electronic,,Miscellaneous,,Juvenile
naaaart,AfAm - Picture,ItemCollection,Media,Art,Miscellaneous,,Adult
cs6o,CS 6 - Oversize,ItemCollection,Print,Book,Miscellaneous,,Adult
cccd,CC-Children's Compact Discs,ItemCollection,Media,Audio Disc,Nonfiction,,Juvenile
xrbk,Part of Book: Analytic Record,ItemType,Other,Book,Analytic,,Adult
drmfc,Microfiche: Dummy Periodical,ItemType,Other,Film,Temporary,,Adult
capfxms,CA9-Play File: Christmas Plays,ItemCollection,Print,,Nonfiction,,Adult
ccser,CC-Children's Series,ItemCollection,Print,Book,Fiction,,Juvenile
bccdrom,CD-ROM: Adult/Formerly No Fine,ItemType,Media,Data Disc,Miscellaneous,,Adult
cadesk7,"CA7-RefDesk, BST",ItemCollection,Print,Book,Reference,,Adult
caperf,CA7-Folio Oversize Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
nacdr,"NA-CD-ROM, Nonfiction",ItemCollection,Media,Data Disc,Nonfiction,,Adult
jccas,Audio Tape: Juv,ItemType,Media,Audio Tape,Miscellaneous,,Juvenile
caseam,CA8-Seattle Music,ItemCollection,Print,Book,Miscellaneous,,Adult
cs7ac,CS 7 - Aero Cross,ItemCollection,Print,Book,Miscellaneous,,Adult
camf,CA6-Microform,ItemCollection,Media,Film,Miscellaneous,,Adult
drper,Magazine: Dummy Record,ItemType,Other,Periodical,Temporary,,Adult
jrcas,Audio Tape: Ref Juv,ItemType,Media,Audio Tape,Reference,,Juvenile
ncpic,NC--Children's Picture Books,ItemCollection,Print,Book,Fiction,Picture,Juvenile
ccbot,CC-Children's Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Juvenile
cadesk5,"CA5-RefDesk, GRS",ItemCollection,Print,Book,Reference,,Adult
cs1lewr,CS 1 - Lang Ref,ItemCollection,Print,Book,Reference,,Adult
ccdesk,"CC-RefDesk, CHI",ItemCollection,Print,Book,Reference,,Juvenile
caeslb,CA1-ESL Beginning,ItemCollection,Print,Book,Miscellaneous,,Adult
xrcdrom,Part of CD-ROM: Analytic Record,ItemType,Other,Data Disc,Analytic,,Adult
ncln,NC-Children's Languages,ItemCollection,Print,Book,Language,,Juvenile
caperm,CA6-Microfilm-Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
cs9ro,CS 9 - Ref Oversize,ItemCollection,Print,Book,Reference,,Adult
jrrec,Record: Ref Juv,ItemType,Media,Audio Disc,Reference,,Juvenile
unk,Unknown itype for item creation,ItemType,Other,,Temporary,,Adult
caperal,CA6-Ref. Alcove Periodicals,ItemCollection,Print,Periodical,Miscellaneous,,Adult
wcbk,WTBBL--Children's Collection,ItemCollection,Print,Book,WTBBL,,Juvenile
ncbot,NC-Children's Bks on Tape,ItemCollection,Media,Audiobook Tape,Fiction,,Juvenile
ch1mcpr,CH1 - MOB Pro/Storytelling,ItemCollection,Print,Book,Miscellaneous,,Juvenile
nynf,NY-Teen - Nonfiction,ItemCollection,Print,Book,Nonfiction,,Teen
caeslc,CA1-ESL Citizenship,ItemCollection,Print,Book,Miscellaneous,,Adult
ncfic,NC-Children's Fiction,ItemCollection,Print,Book,Fiction,,Juvenile
narec,NA-Phono Records,ItemCollection,Media,Audio Disc,Nonfiction,,Adult
naeslar,NA-Eng Second Lang (Adv REF),ItemCollection,Print,Book,Reference,,Adult
nalasr,NA-Laser Disc - Ref,ItemCollection,Media,Video Disc,Reference,,Adult
nahome,NA-Home Improvement,ItemCollection,Print,Book,Nonfiction,,Adult
acslide,Slides: Adult/YA,ItemType,Media,Film,Miscellaneous,,Adult
naflpdr,USB Floppy Drive,ItemCollection,Equipment,,Miscellaneous,,Adult
cs7rf,CS 7 - Ref Folio,ItemCollection,Print,Book,Reference,,Adult
nyln,NY-Teen Languages Collection,ItemCollection,Print,Book,Language,,Teen
caesl,CA1-ESL,ItemCollection,Print,Book,Miscellaneous,,Adult
